Base Word;Translate (uzbek);Guideword;Level;Part of Speech;Topic;Details;;
misinterpretation;;;C2;noun;communication;Details;;
implicit;;;C2;adjective;communication;Details;;
immature;;;C2;adjective;people: personality;Details;;
insane;;ILL;C2;adjective;body and health;Details;;
inconsiderate;;;C2;adjective;people: personality;Details;;
inhuman;;;C2;adjective;people: personality;Details;;
innate;;;C2;adjective;people: personality;Details;;
comfortable;;MONEY;C2;adjective;money;Details;;
formidable;;POWERFUL;C2;adjective;people: personality;Details;;
critical;;OPINIONS;C2;adjective;arts and media;Details;;
facial;;;C2;adjective;body and health;Details;;
grammatical;;;C2;adjective;communication;Details;;
hierarchical;;;C2;adjective;describing things;Details;;
artificial;;NOT SINCERE;C2;adjective;people: personality;Details;;
clinical;;NO EMOTION;C2;adjective;people: personality;Details;;
cynical;;;C2;adjective;people: personality;Details;;
hypocritical;;;C2;adjective;people: personality;Details;;
intellectual;;INTERESTED IN IDEAS;C2;adjective;people: personality;Details;;
constitutional;;;C2;adjective;politics;Details;;
dominant;;STRONG;C2;adjective;people: personality;Details;;
observant;;;C2;adjective;people: personality;Details;;
flawed;;;C2;adjective;describing things;Details;;
decaffeinated;;;C2;adjective;food and drink;Details;;
depressed;;ECONOMY;C2;adjective;money;Details;;
animated;;EXCITEMENT;C2;adjective;people: personality;Details;;
closed;;NOT ACCEPTING IDEAS;C2;adjective;people: personality;Details;;
committed;;;C2;adjective;people: personality;Details;;
conceited;;;C2;adjective;people: personality;Details;;
detached;;NOT EMOTIONAL;C2;adjective;people: personality;Details;;
dignified;;;C2;adjective;people: personality;Details;;
elated;;;C2;adjective;people: personality;Details;;
lenient;;;C2;adjective;crime;Details;;
forceful;;;C2;adjective;people: personality;Details;;
graceful;;POLITE;C2;adjective;people: personality;Details;;
negligible;;;C2;adjective;describing things;Details;;
compatible;;PEOPLE;C2;adjective;people: personality;Details;;
chronic;;;C2;adjective;body and health;Details;;
academic;;CLEVER;C2;adjective;people: personality;Details;;
apologetic;;;C2;adjective;people: personality;Details;;
charismatic;;;C2;adjective;people: personality;Details;;
appalling;;SHOCKING;C2;adjective;describing things;Details;;
intriguing;;;C2;adjective;describing things;Details;;
circulation;;NEWSPAPERS;C2;noun;arts and media;Details;;
capitalist;;;C2;adjective;politics;Details;;
lucrative;;;C2;adjective;money;Details;;
assertive;;;C2;adjective;people: personality;Details;;
expressive;;;C2;adjective;people: personality;Details;;
impulsive;;;C2;adjective;people: personality;Details;;
obsessive;;;C2;adjective;people: personality;Details;;
faultless;;;C2;adjective;describing things;Details;;
flawless;;;C2;adjective;describing things;Details;;
fearless;;;C2;adjective;people: personality;Details;;
merciless;;;C2;adjective;people: personality;Details;;
musically;;;C2;adverb;arts and media;Details;;
medically;;;C2;adverb;body and health;Details;;
merely;;NOT LARGE;C2;adverb;describing things;Details;;
moderately;;;C2;adverb;describing things;Details;;
icily;;;C2;adverb;people: personality;Details;;
intellectually;;;C2;adverb;people: personality;Details;;
intensely;;SERIOUSLY;C2;adverb;people: personality;Details;;
naturally;;FROM BIRTH;C2;adverb;people: personality;Details;;
measurement;;PROCESS;C2;noun;describing things;Details;;
courteous;;;C2;adjective;people: personality;Details;;
malicious;;;C2;adjective;people: personality;Details;;
fussy;;NOT LIKING;C2;adjective;people: personality;Details;;
nosy;;;C2;adjective;people: personality;Details;;
feeble;;WEAK;C2;adjective;body and health;Details;;
fresh;;SKIN;C2;adjective;body and health;Details;;
complex;;MENTAL;C2;noun;body and health;Details;;
cliched;;;C2;adjective;communication;Details;;
coherent;;UNDERSTAND;C2;adjective;communication;Details;;
issue;;;C2;verb;communication;Details;;
legitimate;;LEGAL;C2;adjective;crime;Details;;
awesome;;SPECIAL;C2;adjective;describing things;Details;;
bland;;BORING;C2;adjective;describing things;Details;;
bleak;;COLD;C2;adjective;describing things;Details;;
crisp;;MATERIAL;C2;adjective;describing things;Details;;
dated;;;C2;adjective;describing things;Details;;
defective;;;C2;adjective;describing things;Details;;
desperate;;SERIOUS;C2;adjective;describing things;Details;;
dry;;BORING;C2;adjective;describing things;Details;;
elaborate;;;C2;adjective;describing things;Details;;
fine;;THIN;C2;adjective;describing things;Details;;
fragile;;BREAK;C2;adjective;describing things;Details;;
fragrant;;;C2;adjective;describing things;Details;;
grim;;UNPLEASANT;C2;adjective;describing things;Details;;
marginal;;;C2;adjective;describing things;Details;;
mediocre;;;C2;adjective;describing things;Details;;
minute;;SMALL;C2;adjective;describing things;Details;;
flat;;WITHOUT GAS;C2;adjective;food and drink;Details;;
grain;;SEED;C2;noun;food and drink;Details;;
extravagant;;;C2;adjective;money;Details;;
monetary;;;C2;adjective;money;Details;;
arid;;;C2;adjective;natural world;Details;;
fertile;;;C2;adjective;natural world;Details;;
bronze;;METAL;C2;noun;natural world;Details;;
awkward;;NOT ATTRACTIVE;C2;adjective;people: appearance;Details;;
able;;CLEVER;C2;adjective;people: personality;Details;;
abrupt;;RUDE;C2;adjective;people: personality;Details;;
affectionate;;;C2;adjective;people: personality;Details;;
blank;;NO FEELING;C2;adjective;people: personality;Details;;
blunt;;RUDE;C2;adjective;people: personality;Details;;
cool;;UNFRIENDLY;C2;adjective;people: personality;Details;;
defensive;;;C2;adjective;people: personality;Details;;
diplomatic;;PEOPLE;C2;adjective;people: personality;Details;;
eccentric;;;C2;adjective;people: personality;Details;;
eminent;;;C2;adjective;people: personality;Details;;
fearful;;;C2;adjective;people: personality;Details;;
firm;;STRICT;C2;adjective;people: personality;Details;;
humble;;NOT PROUD;C2;adjective;people: personality;Details;;
idle;;LAZY;C2;adjective;people: personality;Details;;
immune;;;C2;adjective;people: personality;Details;;
intense;;SERIOUS;C2;adjective;people: personality;Details;;
irritable;;;C2;adjective;people: personality;Details;;
mechanical;;BEHAVIOUR;C2;adjective;people: personality;Details;;
contempt;;;C2;noun;people: personality;Details;;
fury;;;C2;noun;people: personality;Details;;
consider;;THINK OF OTHERS;C2;verb;people: personality;Details;;
extreme;;OPINIONS;C2;adjective;politics;Details;;
intimate;;RELATIONSHIP;C2;adjective;relationships;Details;;
jam;;FILL;C2;verb;travel;Details;;
casual;;WORK;C2;adjective;work;Details;;
disposable;;;C2;adjective;;Details;;
inconceivable;;;C2;adjective;;Details;;
indispensable;;;C2;adjective;;Details;;
indisputable;;;C2;adjective;;Details;;
inexplicable;;;C2;adjective;;Details;;
innumerable;;;C2;adjective;;Details;;
disloyal;;;C2;adjective;;Details;;
disillusioned;;;C2;adjective;;Details;;
indifferent;;;C2;adjective;;Details;;
impossible;;DIFFICULT;C2;adjective;;Details;;
irresistible;;ATTRACTIVE;C2;adjective;;Details;;
irreversible;;;C2;adjective;;Details;;
intrinsic;;;C2;adjective;;Details;;
disruptive;;;C2;adjective;;Details;;
invariably;;;C2;adverb;;Details;;
illiterate;;;C2;adjective;;Details;;
immortal;;LIFE;C2;adjective;;Details;;
indirect;;NOT OBVIOUS;C2;adjective;;Details;;
insecure;;NOT SAFE;C2;adjective;;Details;;
accountable;;;C2;adjective;;Details;;
attainable;;;C2;adjective;;Details;;
favourable;;CONDITIONS;C2;adjective;;Details;;
central;;IMPORTANT;C2;adjective;;Details;;
classical;;TRADITIONAL;C2;adjective;;Details;;
commercial;;FOR PROFIT;C2;adjective;;Details;;
continental;;;C2;adjective;;Details;;
essential;;BASIC;C2;adjective;;Details;;
ethical;;RIGHT/WRONG;C2;adjective;;Details;;
exceptional;;UNUSUAL;C2;adjective;;Details;;
experimental;;;C2;adjective;;Details;;
fictional;;;C2;adjective;;Details;;
fundamental;;;C2;adjective;;Details;;
literal;;;C2;adjective;;Details;;
naval;;;C2;adjective;;Details;;
allied;;;C2;adjective;;Details;;
broadminded;;;C2;adjective;;Details;;
concerned;;AFFECTED;C2;adjective;;Details;;
disturbed;;;C2;adjective;;Details;;
engrossed;;;C2;adjective;;Details;;
fixed;;EYES;C2;adjective;;Details;;
horrified;;;C2;adjective;;Details;;
humiliated;;;C2;adjective;;Details;;
muddled;;;C2;adjective;;Details;;
consistent;;NOT CHANGING;C2;adjective;;Details;;
innocent;;NOT INTENDED TO HARM;C2;adjective;;Details;;
negligent;;;C2;adjective;;Details;;
later;;TOWARDS THE END;C2;adjective;;Details;;
eventful;;;C2;adjective;;Details;;
faithful;;RELATIONSHIP;C2;adjective;;Details;;
hopeful;;GOOD THING WILL HAPPEN;C2;adjective;;Details;;
merciful;;;C2;adjective;;Details;;
accessible;;UNDERSTAND;C2;adjective;;Details;;
flexible;;ABLE TO BEND;C2;adjective;;Details;;
automatic;;PERSON;C2;adjective;;Details;;
characteristic;;;C2;adjective;;Details;;
dynamic;;CHANGING;C2;adjective;;Details;;
electric;;EXCITING;C2;adjective;;Details;;
ironic;;;C2;adjective;;Details;;
materialistic;;;C2;adjective;;Details;;
nostalgic;;;C2;adjective;;Details;;
comforting;;;C2;adjective;;Details;;
corresponding;;;C2;adjective;;Details;;
cunning;;;C2;adjective;;Details;;
disturbing;;;C2;adjective;;Details;;
fulfilling;;;C2;adjective;;Details;;
horrifying;;;C2;adjective;;Details;;
humiliating;;;C2;adjective;;Details;;
long-lasting;;;C2;adjective;;Details;;
long-running;;;C2;adjective;;Details;;
longing;;;C2;noun;;Details;;
aspiration;;;C2;noun;;Details;;
formation;;DEVELOPMENT;C2;noun;;Details;;
interpretation;;EXPLANATION;C2;noun;;Details;;
condition;;;C2;verb;;Details;;
abusive;;;C2;adjective;;Details;;
compulsive;;HABIT;C2;adjective;;Details;;
conclusive;;;C2;adjective;;Details;;
consecutive;;;C2;adjective;;Details;;
elusive;;;C2;adjective;;Details;;
harmless;;NOT UPSETTING;C2;adjective;;Details;;
needless;;;C2;adjective;;Details;;
conclusively;;;C2;adverb;;Details;;
consistently;;;C2;adverb;;Details;;
diplomatically;;;C2;adverb;;Details;;
effectively;;REALLY;C2;adverb;;Details;;
fundamentally;;;C2;adverb;;Details;;
harshly;;;C2;adverb;;Details;;
hopelessly;;;C2;adverb;;Details;;
indefinitely;;;C2;adverb;;Details;;
infinitely;;;C2;adverb;;Details;;
ironically;;;C2;adverb;;Details;;
logically;;;C2;adverb;;Details;;
modestly;;NOT PROUDLY;C2;adverb;;Details;;
oddly;;;C2;adverb;;Details;;
ambiguous;;;C2;adjective;;Details;;
analogous;;;C2;adjective;;Details;;
anonymous;;;C2;adjective;;Details;;
hazardous;;;C2;adjective;;Details;;
infectious;;DISEASE;C2;adjective;;Details;;
meticulous;;;C2;adjective;;Details;;
bloody;;ANGER;C2;adjective;;Details;;
contradictory;;;C2;adjective;;Details;;
floppy;;;C2;adjective;;Details;;
healthy;;SUCCESSFUL;C2;adjective;;Details;;
juicy;;EXCITING;C2;adjective;;Details;;
mighty;;;C2;adjective;;Details;;
ahead;;MORE PROGRESS;C2;adjective;;Details;;
alive;;PLACE;C2;adjective;;Details;;
alone;;ONLY ONE;C2;adjective;;Details;;
arbitrary;;;C2;adjective;;Details;;
backward;;;C2;adjective;;Details;;
bare;;BASIC;C2;adjective;;Details;;
carefree;;;C2;adjective;;Details;;
circular;;ARGUMENT;C2;adjective;;Details;;
clean;;NO CRIME;C2;adjective;;Details;;
close;;CAREFUL;C2;adjective;;Details;;
complimentary;;PRAISING;C2;adjective;;Details;;
concrete;;REAL;C2;adjective;;Details;;
constant;;SAME LEVEL;C2;adjective;;Details;;
contrary;;OPPOSITE;C2;adjective;;Details;;
crude;;WITHOUT SKILL;C2;adjective;;Details;;
dazed;;;C2;adjective;;Details;;
dazzling;;EXCITING;C2;adjective;;Details;;
deceptive;;;C2;adjective;;Details;;
dedicated;;FOR PURPOSE;C2;adjective;;Details;;
deep;;SERIOUS;C2;adjective;;Details;;
definitive;;;C2;adjective;;Details;;
delicate;;ATTRACTIVE;C2;adjective;;Details;;
detrimental;;;C2;adjective;;Details;;
devastating;;DESTROYING;C2;adjective;;Details;;
discreet;;;C2;adjective;;Details;;
distant;;RELATIVE;C2;adjective;;Details;;
distinct;;HEAR/SEE;C2;adjective;;Details;;
dubious;;NOT TRUE;C2;adjective;;Details;;
eventual;;;C2;adjective;;Details;;
explicit;;CLEAR;C2;adjective;;Details;;
exquisite;;;C2;adjective;;Details;;
final;;NO MORE DISCUSSION;C2;adjective;;Details;;
finite;;;C2;adjective;;Details;;
frail;;;C2;adjective;;Details;;
frantic;;FAST;C2;adjective;;Details;;
heavy;;FORCE;C2;adjective;;Details;;
high;;DRUGS;C2;adjective;;Details;;
high-profile;;;C2;adjective;;Details;;
hollow;;NOTHING INSIDE;C2;adjective;;Details;;
humanitarian;;;C2;adjective;;Details;;
hygienic;;;C2;adjective;;Details;;
ignorant;;;C2;adjective;;Details;;
imminent;;;C2;adjective;;Details;;
infinite;;;C2;adjective;;Details;;
inherent;;;C2;adjective;;Details;;
intact;;;C2;adjective;;Details;;
interim;;;C2;adjective;;Details;;
justifiable;;;C2;adjective;;Details;;
late;;DEAD;C2;adjective;;Details;;
lavish;;;C2;adjective;;Details;;
lethal;;;C2;adjective;;Details;;
lifelong;;;C2;adjective;;Details;;
literate;;;C2;adjective;;Details;;
loose;;NOT EXACT;C2;adjective;;Details;;
mainstream;;;C2;adjective;;Details;;
mean;;AVERAGE;C2;adjective;;Details;;
miniature;;;C2;adjective;;Details;;
narrow;;LIMITED;C2;adjective;;Details;;
native;;ANIMALS AND PLANTS;C2;adjective;;Details;;
near;;CHARACTERISTIC;C2;adjective;;Details;;
obligatory;;EXPECTED;C2;adjective;;Details;;
off;;STOPPED;C2;adjective;;Details;;
above;;TOO IMPORTANT;C2;adverb;;Details;;
abruptly;;;C2;adverb;;Details;;
allegedly;;;C2;adverb;;Details;;
around;;EXISTING;C2;adverb;;Details;;
away;;CONTINUOUS ACTION;C2;adverb;;Details;;
below;;RANK;C2;adverb;;Details;;
beyond;;TIME;C2;adverb;;Details;;
decisively;;;C2;adverb;;Details;;
downhill;;TOWARDS BOTTOM;C2;adverb;;Details;;
fast;;FIRMLY;C2;adverb;;Details;;
knowingly;;INTENTIONALLY;C2;adverb;;Details;;
army;;ORGANIZED GROUP;C2;noun;;Details;;
belief;;EFFECTIVE;C2;noun;;Details;;
body;;GROUP;C2;noun;;Details;;
bundle;;TIED GROUP;C2;noun;;Details;;
casualty;;INJURED;C2;noun;;Details;;
cheer;;;C2;noun;;Details;;
closure;;;C2;noun;;Details;;
consensus;;;C2;noun;;Details;;
crystal;;GLASS;C2;noun;;Details;;
essence;;BASIC QUALITY;C2;noun;;Details;;
exile;;;C2;noun;;Details;;
frenzy;;;C2;noun;;Details;;
frontier;;BETWEEN COUNTRIES;C2;noun;;Details;;
heap;;PILE;C2;noun;;Details;;
impact;;HITTING;C2;noun;;Details;;
irony;;SITUATION;C2;noun;;Details;;
life;;ACTIVE PERIOD;C2;noun;;Details;;
local;;;C2;noun;;Details;;
medium;;;C2;noun;;Details;;
coin;;;C2;verb;;Details;;
concede;;ADMIT;C2;verb;;Details;;
drown;;COVER;C2;verb;;Details;;
establish;;DECIDE;C2;verb;;Details;;
exhibit;;SHOW FEELINGS;C2;verb;;Details;;
obscene;;SEX;C2;adjective;;Details;;
residence;;BUILDING;C2;noun;homes and buildings;Details;;
reflection;;THOUGHT;C2;noun;people: personality;Details;;
protagonist;;;C2;noun;arts and media;Details;;
sensibility;;;C2;noun;people: personality;Details;;
succumb;;SUFFER;C2;verb;body and health;Details;;
relate;;TELL;C2;verb;communication;Details;;
utter;;;C2;verb;communication;Details;;
trash;;;C2;noun;describing things;Details;;
resolve;;;C2;noun;people: personality;Details;;
sorrow;;;C2;noun;people: personality;Details;;
sibling;;;C2;noun;relationships;Details;;
spouse;;;C2;noun;relationships;Details;;
remove;;JOB;C2;verb;work;Details;;
replace;;PUT BACK;C2;verb;;Details;;
practitioner;;;C2;noun;;Details;;
workaholic;;;C2;noun;;Details;;
possession;;HAVE;C2;noun;;Details;;
proximity;;;C2;noun;;Details;;
offspring;;;C2;noun;;Details;;
paradigm;;;C2;noun;;Details;;
quest;;;C2;noun;;Details;;
realm;;;C2;noun;;Details;;
thesis;;IDEA;C2;noun;;Details;;
plight;;;C2;noun;;Details;;
prevail;;;C2;verb;;Details;;
refrain;;;C2;verb;;Details;;
reign;;MAIN FEELING/QUALITY;C2;verb;;Details;;
strive;;;C2;verb;;Details;;
perceive;;NOTICE;C2;verb;;Details;;
precede;;;C2;verb;;Details;;
render;;CAUSE TO BE;C2;verb;;Details;;
sadden;;;C2;verb;;Details;;
seek;;TRY TO DO;C2;verb;;Details;;
summon;;ORDER;C2;verb;;Details;;
surpass;;;C2;verb;;Details;;
violate;;;C2;verb;;Details;;
translate;;CAUSE;C2;verb;;Details;;
tip;;UNTIDY PLACE;C2;noun;;Details;;
racket;;NOISE;C2;noun;;Details;;
scrap;;;C2;verb;;Details;;
riches;;;C2;noun;;Details;;
ponder;;;C2;verb;;Details;;
weep;;;C2;verb;;Details;;
reassurance;;;C2;noun;communication;Details;;
redistribute;;;C2;verb;people: actions;Details;;
unload;;REMOVE;C2;verb;people: actions;Details;;
unwind;;MAKE STRAIGHT;C2;verb;people: actions;Details;;
withdrawal;;MONEY;C2;noun;money;Details;;
radical;;;C2;noun;politics;Details;;
official;;;C2;noun;work;Details;;
resistance;;ILLNESS;C2;noun;body and health;Details;;
self-assurance;;;C2;noun;people: personality;Details;;
self-reliance;;;C2;noun;people: personality;Details;;
tolerance;;;C2;noun;people: personality;Details;;
resilience;;;C2;noun;people: personality;Details;;
sufferer;;;C2;noun;body and health;Details;;
voter;;;C2;noun;politics;Details;;
striker;;FOOTBALL PLAYER;C2;noun;shopping;Details;;
schooling;;;C2;noun;education;Details;;
spending;;;C2;noun;money;Details;;
starvation;;;C2;noun;body and health;Details;;
quotation;;PHRASE;C2;noun;communication;Details;;
persuasion;;;C2;noun;communication;Details;;
prosecution;;;C2;noun;crime;Details;;
orientation;;TRAINING;C2;noun;education;Details;;
resignation;;ACCEPT;C2;noun;people: personality;Details;;
vocation;;;C2;noun;work;Details;;
optimism;;;C2;noun;people: personality;Details;;
socialism;;;C2;noun;politics;Details;;
security;;CONFIDENCE;C2;noun;people: personality;Details;;
serenity;;;C2;noun;people: personality;Details;;
sincerity;;;C2;noun;people: personality;Details;;
stupidity;;;C2;noun;people: personality;Details;;
superiority;;OPINION;C2;noun;people: personality;Details;;
vanity;;;C2;noun;people: personality;Details;;
vitality;;;C2;noun;people: personality;Details;;
resentment;;;C2;noun;people: personality;Details;;
openness;;;C2;noun;people: personality;Details;;
self-awareness;;;C2;noun;people: personality;Details;;
stubbornness;;;C2;noun;people: personality;Details;;
tenderness;;;C2;noun;people: personality;Details;;
toughness;;;C2;noun;people: personality;Details;;
pack;;ANIMALS;C2;noun;animals;Details;;
saddle;;;C2;noun;animals;Details;;
trail;;MARKS;C2;noun;animals;Details;;
prey;;;C2;noun;animals;Details;;
organ;;MUSIC;C2;noun;arts and media;Details;;
spotlight;;;C2;noun;arts and media;Details;;
trilogy;;;C2;noun;arts and media;Details;;
portray;;;C2;verb;arts and media;Details;;
palm;;HAND;C2;noun;body and health;Details;;
plague;;;C2;noun;body and health;Details;;
rash;;;C2;noun;body and health;Details;;
sample;;EXAMINE;C2;noun;body and health;Details;;
scan;;;C2;noun;body and health;Details;;
skull;;;C2;noun;body and health;Details;;
system;;BODY;C2;noun;body and health;Details;;
transplant;;;C2;noun;body and health;Details;;
wreck;;PERSON;C2;noun;body and health;Details;;
wrinkle;;;C2;noun;body and health;Details;;
strain;;INJURY;C2;noun;body and health;Details;;
vaccine;;;C2;noun;body and health;Details;;
water;;MOUTH;C2;verb;body and health;Details;;
prescribe;;;C2;verb;body and health;Details;;
transmit;;SPREAD;C2;verb;body and health;Details;;
vaccinate;;;C2;verb;body and health;Details;;
vomit;;;C2;verb;body and health;Details;;
strap;;;C2;noun;clothes;Details;;
velvet;;;C2;noun;clothes;Details;;
paper;;WRITING;C2;noun;communication;Details;;
plea;;;C2;noun;communication;Details;;
proverb;;;C2;noun;communication;Details;;
quote;;REPEAT;C2;noun;communication;Details;;
saying;;;C2;noun;communication;Details;;
story;;EXPLANATION;C2;noun;communication;Details;;
print;;LETTERS;C2;noun;communication;Details;;
propaganda;;;C2;noun;communication;Details;;
talk;;PEOPLE;C2;noun;communication;Details;;
reproach;;;C2;noun;communication;Details;;
tribute;;;C2;noun;communication;Details;;
plant;;IDEA/DOUBTS;C2;verb;communication;Details;;
present;;INFORMATION;C2;verb;communication;Details;;
put;;SAY;C2;verb;communication;Details;;
represent;;SPEAK/ACT FOR;C2;verb;communication;Details;;
sell;;IDEA/PLAN;C2;verb;communication;Details;;
take;;UNDERSTAND;C2;verb;communication;Details;;
snap;;SPEAK ANGRILY;C2;verb;communication;Details;;
verdict;;;C2;noun;crime;Details;;
proceedings;;LEGAL;C2;noun;crime;Details;;
testify;;;C2;verb;crime;Details;;
serve;;PRISON;C2;verb;crime;Details;;
try;;LAW;C2;verb;crime;Details;;
outline;;SHAPE;C2;noun;describing things;Details;;
syllabus;;;C2;noun;education;Details;;
relish;;SAUCE;C2;noun;food and drink;Details;;
sip;;;C2;noun;food and drink;Details;;
stone;;SEED;C2;noun;food and drink;Details;;
straw;;TUBE;C2;noun;food and drink;Details;;
stable;;;C2;noun;homes and buildings;Details;;
structure;;BUILDING;C2;noun;homes and buildings;Details;;
throne;;FOR KING/QUEEN;C2;noun;homes and buildings;Details;;
warehouse;;;C2;noun;homes and buildings;Details;;
offer;;PAYMENT;C2;noun;money;Details;;
will;;DOCUMENT;C2;noun;money;Details;;
outgoings;;;C2;noun;money;Details;;
settle;;PAY;C2;verb;money;Details;;
squander;;;C2;verb;money;Details;;
weed;;;C2;noun;natural world;Details;;
wilderness;;;C2;noun;natural world;Details;;
tin;;METAL;C2;noun;natural world;Details;;
woodland;;;C2;noun;natural world;Details;;
retreat;;;C2;verb;people: actions;Details;;
revolt;;AGAINST;C2;verb;people: actions;Details;;
shudder;;;C2;verb;people: actions;Details;;
sniff;;MAKE A NOISE;C2;verb;people: actions;Details;;
stagger;;;C2;verb;people: actions;Details;;
struggle;;TRY TO DEFEAT/PREVENT;C2;verb;people: actions;Details;;
wink;;;C2;verb;people: actions;Details;;
pat;;;C2;verb;people: actions;Details;;
refine;;;C2;verb;people: actions;Details;;
retrieve;;;C2;verb;people: actions;Details;;
seize;;PLACE;C2;verb;people: actions;Details;;
snatch;;;C2;verb;people: actions;Details;;
spread;;SURFACE;C2;verb;people: actions;Details;;
sprinkle;;;C2;verb;people: actions;Details;;
track;;FOLLOW;C2;verb;people: actions;Details;;
twist;;TURN;C2;verb;people: actions;Details;;
rock;;;C2;verb;people: actions;Details;;
slow;;;C2;verb;people: actions;Details;;
spit;;;C2;verb;people: actions;Details;;
split;;COME APART;C2;verb;people: actions;Details;;
stain;;MARK;C2;verb;people: actions;Details;;
stamp;;FOOT;C2;verb;people: actions;Details;;
tread;;;C2;verb;people: actions;Details;;
snob;;;C2;noun;people: personality;Details;;
trait;;;C2;noun;people: personality;Details;;
outrage;;FEELING;C2;noun;people: personality;Details;;
restraint;;;C2;noun;people: personality;Details;;
self-control;;;C2;noun;people: personality;Details;;
self-discipline;;;C2;noun;people: personality;Details;;
self-respect;;;C2;noun;people: personality;Details;;
spite;;FEELING;C2;noun;people: personality;Details;;
tact;;;C2;noun;people: personality;Details;;
triumph;;FEELING;C2;noun;people: personality;Details;;
willpower;;;C2;noun;people: personality;Details;;
standard;;BEHAVIOUR;C2;noun;people: personality;Details;;
resent;;;C2;verb;people: personality;Details;;
sense;;;C2;verb;people: personality;Details;;
tire;;BECOME TIRED;C2;verb;people: personality;Details;;
referendum;;;C2;noun;politics;Details;;
regime;;;C2;noun;politics;Details;;
seat;;POLITICS;C2;noun;politics;Details;;
wing;;POLITICS;C2;noun;politics;Details;;
reform;;;C2;noun;politics;Details;;
orphan;;;C2;noun;relationships;Details;;
pass;;SPORTS;C2;noun;shopping;Details;;
second;;PRODUCT;C2;noun;shopping;Details;;
squad;;;C2;noun;shopping;Details;;
title;;SPORTS;C2;noun;shopping;Details;;
tie;;COMPETITION/GAME;C2;verb;shopping;Details;;
withdraw;;COMPETITION;C2;verb;shopping;Details;;
path;;DIRECTION;C2;noun;travel;Details;;
tractor;;;C2;noun;travel;Details;;
reverse;;VEHICLE;C2;noun;travel;Details;;
traffic;;PLANES AND SHIPS;C2;noun;travel;Details;;
recruit;;;C2;noun;work;Details;;
venture;;;C2;noun;work;Details;;
overload;;;C2;verb;work;Details;;
torture;;;C2;verb;people: actions;Details;;
reconstruction;;PAST EVENT;C2;noun;;Details;;
reunion;;;C2;noun;;Details;;
review;;PROCESS;C2;noun;;Details;;
readjust;;CHANGE BEHAVIOUR;C2;verb;;Details;;
recur;;;C2;verb;;Details;;
reconstruct;;PAST EVENT;C2;verb;;Details;;
reinforce;;OBJECT;C2;verb;;Details;;
restructure;;;C2;verb;;Details;;
unrest;;;C2;noun;;Details;;
unfold;;DEVELOP;C2;verb;;Details;;
reversal;;;C2;noun;;Details;;
renewal;;REPAIR/IMPROVE;C2;noun;;Details;;
perseverance;;;C2;noun;;Details;;
resemblance;;;C2;noun;;Details;;
persistence;;;C2;noun;;Details;;
presence;;QUALITY;C2;noun;;Details;;
retailer;;;C2;noun;;Details;;
taxpayer;;;C2;noun;;Details;;
thinker;;;C2;noun;;Details;;
toddler;;;C2;noun;;Details;;
trader;;;C2;noun;;Details;;
villager;;;C2;noun;;Details;;
opening;;HOLE;C2;noun;;Details;;
reading;;EVENT;C2;noun;;Details;;
ruling;;;C2;noun;;Details;;
understanding;;AGREEMENT;C2;noun;;Details;;
undertaking;;;C2;noun;;Details;;
reasoning;;;C2;noun;;Details;;
running;;CONTROL;C2;noun;;Details;;
presumption;;;C2;noun;;Details;;
procession;;;C2;noun;;Details;;
rejection;;JOB/COLLEGE;C2;noun;;Details;;
resolution;;DECISION;C2;noun;;Details;;
revelation;;;C2;noun;;Details;;
sanction;;;C2;noun;;Details;;
variation;;DIFFERENT THING;C2;noun;;Details;;
presentation;;APPEARANCE;C2;noun;;Details;;
realization;;ACHIEVING;C2;noun;;Details;;
recognition;;HONOUR;C2;noun;;Details;;
retention;;;C2;noun;;Details;;
simplification;;;C2;noun;;Details;;
perception;;;C2;noun;;Details;;
provocation;;;C2;noun;;Details;;
recollection;;;C2;noun;;Details;;
repetition;;;C2;noun;;Details;;
reservation;;DOUBT;C2;noun;;Details;;
restriction;;RULE;C2;noun;;Details;;
transition;;;C2;noun;;Details;;
vandalism;;;C2;noun;;Details;;
psychiatrist;;;C2;noun;;Details;;
severity;;;C2;noun;;Details;;
sustainability;;;C2;noun;;Details;;
tranquility;;;C2;noun;;Details;;
validity;;;C2;noun;;Details;;
scarcity;;;C2;noun;;Details;;
sympathize;;PROBLEMS;C2;verb;;Details;;
settlement;;ARRANGEMENT;C2;noun;;Details;;
statement;;MONEY;C2;noun;;Details;;
readiness;;PREPARED;C2;noun;;Details;;
predecessor;;;C2;noun;;Details;;
prosecutor;;;C2;noun;;Details;;
successor;;THING;C2;noun;;Details;;
racist;;;C2;noun;;Details;;
ordeal;;;C2;noun;;Details;;
ornament;;;C2;noun;;Details;;
outbreak;;;C2;noun;;Details;;
outlet;;SHOP;C2;noun;;Details;;
pact;;;C2;noun;;Details;;
panel;;PIECE;C2;noun;;Details;;
paradox;;;C2;noun;;Details;;
parallel;;;C2;noun;;Details;;
particle;;;C2;noun;;Details;;
pastime;;;C2;noun;;Details;;
patch;;AREA;C2;noun;;Details;;
pioneer;;;C2;noun;;Details;;
pit;;;C2;noun;;Details;;
platform;;FOR OPINIONS;C2;noun;;Details;;
plot;;LAND;C2;noun;;Details;;
pocket;;MONEY;C2;noun;;Details;;
point;;QUALITY;C2;noun;;Details;;
pole;;;C2;noun;;Details;;
